City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
79,nynashamn,58.9034,17.9479,2.87,86,98,5.0,SE,2023-04-07
80,albany,42.6001,-73.9662,6.62,42,100,2.68,US,2023-04-07
81,port hardy,50.6996,-127.4199,10.1,62,75,5.14,CA,2023-04-07
82,belaya gora,68.5333,146.4167,-20.68,100,100,0.78,RU,2023-04-07
83,sulangan,11.1373,123.7228,26.65,79,47,7.11,PH,2023-04-07
84,ponta do sol,32.6667,-17.1,18.89,69,65,1.4,PT,2023-04-07
85,nemuro,43.3236,145.575,2.44,98,100,5.58,JP,2023-04-07
86,ribeira grande,38.5167,-28.7,11.54,72,14,0.89,PT,2023-04-07
87,daru,-9.0763,143.2092,24.53,93,100,3.09,PG,2023-04-07
88,palu,-0.8917,119.8707,23.02,90,100,0.61,ID,2023-04-07
89,kotka,60.4664,26.9458,1.59,98,54,3.12,FI,2023-04-07
90,faya,18.3851,42.4509,16.06,65,5,1.24,SA,2023-04-07
91,payo,-3.7508,103.6372,21.67,97,72,0.81,ID,2023-04-07
92,abha,18.2164,42.5053,15.9,88,0,4.12,SA,2023-04-07
93,aktash,50.3,87.7333,-6.08,88,100,1.0,RU,2023-04-07
94,alice springs,-23.7,133.8833,16.79,72,9,1.54,AU,2023-04-07
95,benguela,-12.5763,13.4055,26.44,85,91,2.1,AO,2023-04-07
96,qaanaaq,77.484,-69.3632,-25.67,74,0,2.61,GL,2023-04-07
97,khatanga,71.9667,102.5,-20.82,97,100,6.23,RU,2023-04-07
98,kropotkin,45.4375,40.5756,9.71,85,83,1.81,RU,2023-04-07
99,grantham,52.9115,-0.6418,8.34,88,4,3.09,GB,2023-04-07
100,belmonte,-15.8631,-38.8828,25.43,81,47,2.66,BR,2023-04-07
101,plettenberg bay,-34.0527,23.3716,17.62,90,86,2.35,ZA,2023-04-07
102,carnarvon,-24.8667,113.6333,21.09,60,1,5.04,AU,2023-04-07
103,cherskiy,68.75,161.3,-19.83,95,99,1.93,RU,2023-04-07
104,cidreira,-30.1811,-50.2056,20.62,75,100,4.64,BR,2023-04-07
105,saint george,37.1041,-113.5841,21.08,20,0,2.57,US,2023-04-07
106,imbituba,-28.24,-48.6703,18.89,88,100,0.48,BR,2023-04-07
107,zhigansk,66.7697,123.3711,-8.8,93,100,12.13,RU,2023-04-07
108,georgetown,5.4112,100.3354,27.96,88,20,1.54,MY,2023-04-07
109,coquimbo,-29.9533,-71.3436,16.85,82,75,5.14,CL,2023-04-07
110,geraldton,-28.7667,114.6,13.23,82,1,3.6,AU,2023-04-07
111,masyaf,35.0653,36.3406,9.84,91,10,2.82,SY,2023-04-07
112,sao filipe,14.8961,-24.4956,22.47,78,47,3.41,CV,2023-04-07
113,puerto carreno,6.189,-67.4859,34.99,41,40,2.06,CO,2023-04-07
114,alofi,-19.0595,-169.9187,28.94,70,34,5.14,NU,2023-04-07
115,aripuana,-9.1667,-60.6333,23.44,97,91,0.74,BR,2023-04-07
116,sal rei,16.1833,-22.9167,21.63,78,76,7.45,CV,2023-04-07
117,iralaya,15.0,-83.2333,27.37,64,0,4.91,HN,2023-04-07
118,viedma,-40.8135,-62.9967,15.87,67,96,5.4,AR,2023-04-07
119,te anau,-45.4167,167.7167,8.53,73,17,0.45,NZ,2023-04-07
120,praia da vitoria,38.7333,-27.0667,12.14,76,40,5.39,PT,2023-04-07
121,cedral,23.8,-100.7333,23.43,40,34,6.34,MX,2023-04-07
122,upernavik,72.7868,-56.1549,-26.81,97,52,5.43,GL,2023-04-07
123,muriti,-1.9833,32.9167,22.42,76,41,2.61,TZ,2023-04-07
124,bagdarin,54.4333,113.6,-7.23,70,88,1.15,RU,2023-04-07
125,paramirim,-13.4425,-42.2389,26.69,53,80,2.7,BR,2023-04-07
126,lunino,53.5918,45.2271,8.28,65,45,3.65,RU,2023-04-07
127,trapani,37.8333,12.6667,10.15,87,40,2.57,IT,2023-04-07
128,adrar,20.5022,-10.0711,25.93,22,98,2.11,MR,2023-04-07
129,savelugu,9.6244,-0.8253,31.51,44,92,3.06,GH,2023-04-07
130,constitucion,-35.3333,-72.4167,17.73,57,69,5.32,CL,2023-04-07
131,gold coast,-28.0,153.4333,22.24,90,18,2.57,AU,2023-04-07
132,riobamba,-1.6667,-78.6333,13.76,92,100,1.45,EC,2023-04-07
133,mashhad,36.297,59.6062,19.08,39,0,3.09,IR,2023-04-07
134,ampanihy,-24.7,44.75,22.89,87,37,2.08,MG,2023-04-07
135,hofn,64.2539,-15.2082,7.33,87,100,10.75,IS,2023-04-07
136,vila velha,-20.3297,-40.2925,26.97,87,75,2.57,BR,2023-04-07
137,coruripe,-10.1256,-36.1756,25.99,83,100,3.05,BR,2023-04-07
138,hirara,24.8,125.2833,19.15,68,75,11.83,JP,2023-04-07
139,chateaubelair,13.2833,-61.25,26.29,69,40,4.63,VC,2023-04-07
140,mudanjiang,44.5833,129.6,-1.96,36,49,2.22,CN,2023-04-07
141,bilma,18.6853,12.9164,31.0,11,10,3.65,NE,2023-04-07
142,ambunti,-4.2365,142.8448,24.1,97,100,0.29,PG,2023-04-07
143,tuatapere,-46.1333,167.6833,10.51,69,9,1.94,NZ,2023-04-07
144,si satchanalai,17.5169,99.7598,27.17,62,100,1.7,TH,2023-04-07
145,maun,-19.9833,23.4167,21.98,60,0,1.54,BW,2023-04-07
146,tuktoyaktuk,69.4541,-133.0374,-13.0,85,75,12.86,CA,2023-04-07
147,maniitsoq,65.4167,-52.9,-2.7,69,49,7.67,GL,2023-04-07
148,bathsheba,13.2167,-59.5167,27.34,65,20,9.26,BB,2023-04-07
149,ambatofinandrahana,-20.55,46.8,16.2,97,100,0.76,MG,2023-04-07
150,gat,31.61,34.7642,18.78,67,2,1.25,IL,2023-04-07
151,teahupoo,-17.8333,-149.2667,25.98,79,100,8.76,PF,2023-04-07
152,samarai,-10.6167,150.6667,28.18,77,100,2.24,PG,2023-04-07
153,itacoatiara,-3.1431,-58.4442,24.66,92,100,1.63,BR,2023-04-07
154,ilulissat,69.2167,-51.1,-5.99,58,78,6.17,GL,2023-04-07
155,rupert,42.6191,-113.6772,11.97,30,100,6.17,US,2023-04-07
156,northam,51.0333,-4.2167,8.67,73,51,3.43,GB,2023-04-07
157,buraydah,26.326,43.975,21.25,44,99,4.15,SA,2023-04-07
158,komsomolskiy,40.4272,71.7189,18.4,34,99,2.06,UZ,2023-04-07
159,oranjestad,12.524,-70.027,27.97,80,40,9.26,AW,2023-04-07
160,rocha,-34.4833,-54.3333,16.11,78,89,2.19,UY,2023-04-07
161,kangaatsiaq,68.3065,-53.4641,-15.66,99,81,1.19,GL,2023-04-07
162,vao,-22.6667,167.4833,23.94,72,4,3.52,NC,2023-04-07
163,caravelas,-17.7125,-39.2481,24.39,87,39,2.44,BR,2023-04-07
164,talcahuano,-36.7167,-73.1167,19.82,56,0,4.12,CL,2023-04-07
165,griffith,41.5284,-87.4237,13.38,43,0,5.14,US,2023-04-07
166,tilichiki,60.4667,166.1,-12.42,88,30,0.41,RU,2023-04-07
167,hithadhoo,-0.6,73.0833,27.68,66,45,1.15,MV,2023-04-07
168,lavrentiya,65.5833,-171.0,-19.64,73,100,2.65,RU,2023-04-07
169,qeshm,26.9581,56.2719,21.93,83,0,3.61,IR,2023-04-07
170,pevek,69.7008,170.3133,-26.51,96,75,1.21,RU,2023-04-07
171,kavieng,-2.5744,150.7967,27.58,82,98,5.01,PG,2023-04-07
172,novozavidovskiy,56.55,36.4333,1.57,78,7,2.47,RU,2023-04-07
173,tabou,4.423,-7.3528,26.73,85,100,2.53,CI,2023-04-07
174,new norfolk,-42.7826,147.0587,12.72,74,85,0.89,AU,2023-04-07
175,port alfred,-33.5906,26.891,16.21,85,79,0.45,ZA,2023-04-07
176,kaitangata,-46.2817,169.8464,10.45,69,7,1.4,NZ,2023-04-07
177,naze,28.3667,129.4833,15.51,64,60,8.72,JP,2023-04-07
178,jeremie,18.65,-74.1167,25.89,66,14,2.37,HT,2023-04-07
179,porto novo,6.4965,2.6036,27.84,81,100,4.07,BJ,2023-04-07
180,margate,51.3813,1.3862,6.5,85,6,2.06,GB,2023-04-07
181,linhares,-19.3911,-40.0722,24.36,84,84,1.7,BR,2023-04-07
182,aykhal,66.0,111.5,-29.73,93,88,9.21,RU,2023-04-07
183,bandarbeyla,9.4942,50.8122,26.85,70,21,2.94,SO,2023-04-07
184,camacha,33.0833,-16.3333,15.68,59,40,4.12,PT,2023-04-07
185,jequie,-13.8575,-40.0836,22.8,96,81,1.42,BR,2023-04-07
186,esperance,-33.8667,121.9,15.17,76,100,6.0,AU,2023-04-07
187,shentala,54.45,51.4833,0.43,66,11,3.96,RU,2023-04-07
188,cap malheureux,-19.9842,57.6142,24.7,79,32,1.34,MU,2023-04-07
189,jennersdorf,46.9385,16.1416,7.47,73,100,1.04,AT,2023-04-07
190,atar,20.5169,-13.0499,27.06,17,94,1.01,MR,2023-04-07
191,ibra,22.6906,58.5334,22.86,60,3,2.62,OM,2023-04-07
192,victoria,22.2855,114.1577,21.29,69,100,0.89,HK,2023-04-07
193,vardo,70.3705,31.1107,3.99,81,75,1.54,NO,2023-04-07
194,turayf,31.6725,38.6637,20.14,15,0,3.09,SA,2023-04-07
195,rosamorada,22.1222,-105.2058,31.55,22,0,4.95,MX,2023-04-07
196,yar-sale,66.8333,70.8333,-1.61,88,100,8.56,RU,2023-04-07
197,boysun,38.2061,67.1986,14.18,42,86,3.78,UZ,2023-04-07
198,svetlyy,54.675,20.1347,10.03,93,99,2.49,RU,2023-04-07
199,sao jose da coroa grande,-8.8978,-35.1478,26.47,80,84,3.51,BR,2023-04-07
200,oussouye,12.485,-16.5469,24.05,70,25,4.55,SN,2023-04-07
201,bocas del toro,9.3333,-82.25,26.72,70,83,2.93,PA,2023-04-07
202,alugan,12.2188,125.4808,24.98,85,100,0.76,PH,2023-04-07
203,suba,10.8438,121.0102,27.3,73,44,7.47,PH,2023-04-07
204,dolores,-36.3132,-57.6792,17.14,70,4,3.66,AR,2023-04-07
205,ekibastuz,51.6667,75.3667,-5.73,72,100,6.56,KZ,2023-04-07
206,batagay-alyta,67.8006,130.4114,-25.18,98,100,0.55,RU,2023-04-07
207,labuhan,-6.8844,112.2051,24.81,85,92,2.85,ID,2023-04-07
208,anadyr,64.75,177.4833,-22.72,84,0,2.0,RU,2023-04-07
209,olafsvik,64.8945,-23.7142,6.59,80,99,17.33,IS,2023-04-07
210,katangli,51.7102,143.2326,-1.94,96,100,5.59,RU,2023-04-07
211,lagoa,39.05,-27.9833,12.7,62,5,5.34,PT,2023-04-07
212,tromso,69.6496,18.957,2.01,80,75,5.14,NO,2023-04-07
213,houma,29.5958,-90.7195,23.33,91,100,3.09,US,2023-04-07
214,tura,25.5198,90.2201,21.16,44,68,1.31,IN,2023-04-07
215,la ronge,55.1001,-105.2842,7.14,26,0,9.77,CA,2023-04-07
216,lompoc,34.6391,-120.4579,22.23,68,75,6.26,US,2023-04-07
217,sao gabriel da cachoeira,-0.1303,-67.0892,25.06,94,99,0.54,BR,2023-04-07
218,ukiah,39.1502,-123.2078,15.94,57,20,2.24,US,2023-04-07
219,mozarlandia,-14.7447,-50.5706,25.92,70,64,0.29,BR,2023-04-07
220,vryburg,-26.9566,24.7284,18.41,46,4,3.19,ZA,2023-04-07
221,magaria,12.9983,8.9099,28.54,12,97,0.06,NE,2023-04-07
222,kinsale,51.7075,-8.5306,8.65,87,40,5.66,IE,2023-04-07
223,itaqui,-29.1253,-56.5531,22.06,61,57,5.06,BR,2023-04-07
224,kalianget,-7.05,113.9333,25.77,82,100,2.4,ID,2023-04-07
225,kununurra,-15.7667,128.7333,25.99,89,100,0.51,AU,2023-04-07
226,krasnyy chikoy,50.3643,108.7512,-3.77,76,8,1.08,RU,2023-04-07
227,grand gaube,-20.0064,57.6608,24.65,79,36,1.34,MU,2023-04-07
228,abu samrah,35.3029,37.1841,11.61,70,3,3.21,SY,2023-04-07
229,marsh harbour,26.5412,-77.0636,24.42,73,35,6.45,BS,2023-04-07
230,weligama,5.9667,80.4167,23.99,87,41,3.03,LK,2023-04-07
231,avera,33.194,-82.5271,26.73,85,99,8.69,US,2023-04-07
232,dunedin,-45.8742,170.5036,12.82,46,4,3.74,NZ,2023-04-07
233,teupasenti,14.2167,-86.7,31.67,21,6,3.06,HN,2023-04-07
234,cordoba,-31.4135,-64.1811,25.47,76,75,3.09,AR,2023-04-07
235,cuamba,-14.8031,36.5372,19.8,96,69,0.28,MZ,2023-04-07
236,souillac,-20.5167,57.5167,24.21,94,20,1.03,MU,2023-04-07
237,taoudenni,22.6783,-3.9836,27.01,11,0,4.31,ML,2023-04-07
238,vanavara,60.34,102.2797,-23.82,90,12,4.15,RU,2023-04-07
239,saldanha,-33.0117,17.9442,15.03,82,100,9.44,ZA,2023-04-07
240,padang,-0.9492,100.3543,24.03,88,96,1.62,ID,2023-04-07
241,walvis bay,-22.9575,14.5053,16.69,84,49,4.8,NA,2023-04-07
242,yaan,7.3833,8.5667,28.32,66,74,5.46,NG,2023-04-07
243,comodoro rivadavia,-45.8667,-67.5,15.92,48,0,6.17,AR,2023-04-07
244,airai,-8.9266,125.4092,14.81,88,100,0.71,TL,2023-04-07
245,ota,36.3,139.3667,14.76,61,97,1.96,JP,2023-04-07
246,chapais,49.7834,-74.8492,-5.12,75,94,6.24,CA,2023-04-07
247,batemans bay,-35.7167,150.1833,14.57,75,92,2.7,AU,2023-04-07
248,havre-saint-pierre,50.2334,-63.5986,1.2,44,75,9.77,CA,2023-04-07
249,darnah,32.767,22.6367,13.87,65,100,4.43,LY,2023-04-07
250,hvolsvollur,63.7533,-20.2243,7.24,74,100,10.89,IS,2023-04-07
251,kahului,20.8947,-156.47,27.01,68,40,10.8,US,2023-04-07
252,kawalu,-7.3817,108.2082,21.17,92,88,0.79,ID,2023-04-07
253,lebu,-37.6167,-73.65,13.57,72,98,7.23,CL,2023-04-07
254,ullapool,57.8987,-5.1604,5.35,88,7,2.9,GB,2023-04-07
255,parana,-31.732,-60.5238,25.84,70,37,2.72,AR,2023-04-07
256,carrollton,32.9537,-96.8903,17.58,59,100,4.63,US,2023-04-07
257,kaabong,3.4836,34.1492,20.67,65,66,5.7,UG,2023-04-07
258,bani,18.2833,-70.3333,25.69,70,19,5.91,DO,2023-04-07
259,srivardhan,18.0333,73.0167,26.21,78,14,0.53,IN,2023-04-07
260,ancud,-41.8697,-73.8203,12.42,78,100,1.41,CL,2023-04-07
261,san felipe,10.3399,-68.7425,25.38,83,80,2.77,VE,2023-04-07
262,asfi,32.2994,-9.2372,17.86,78,61,1.24,MA,2023-04-07
263,saint-francois,46.4154,3.9054,4.98,93,0,0.0,FR,2023-04-07
264,dudinka,69.4058,86.1778,-34.8,98,81,3.0,RU,2023-04-07
265,chokurdakh,70.6333,147.9167,-25.4,99,54,1.44,RU,2023-04-07
266,hovd,48.0056,91.6419,2.56,30,97,3.58,MN,2023-04-07
267,kilindoni,-7.9139,39.6668,27.18,79,58,4.34,TZ,2023-04-07
268,iskateley,67.6803,53.1512,0.04,87,77,7.8,RU,2023-04-07
269,cape canaveral,28.4058,-80.6048,29.0,70,0,8.23,US,2023-04-07
270,razgrad,43.5333,26.5167,4.98,83,100,1.97,BG,2023-04-07
271,qaqortoq,60.7167,-46.0333,-0.73,86,100,0.8,GL,2023-04-07
272,dikson,73.5069,80.5464,-34.94,97,6,4.02,RU,2023-04-07
273,egvekinot,66.3167,-179.1667,-21.64,85,94,0.33,RU,2023-04-07
274,lima,-12.0432,-77.0282,26.14,69,20,7.2,PE,2023-04-07
275,togur,58.3631,82.8265,-15.28,91,12,2.67,RU,2023-04-07
276,gijon,43.5357,-5.6615,15.25,89,100,4.47,ES,2023-04-07
277,mattru,7.6244,-11.8332,25.77,86,63,1.03,SL,2023-04-07
278,broome,42.2506,-75.833,5.85,50,0,5.66,US,2023-04-07
279,ahipara,-35.1667,173.1667,18.54,67,99,3.55,NZ,2023-04-07
280,mehamn,71.0357,27.8492,2.95,93,100,0.0,NO,2023-04-07
281,axim,4.8699,-2.2405,27.52,82,84,3.67,GH,2023-04-07
282,monte alegre,-2.0078,-54.0692,25.88,77,99,1.29,BR,2023-04-07
283,catamarca,-28.4696,-65.7852,27.65,54,76,1.34,AR,2023-04-07
284,high prairie,55.4334,-116.4858,11.52,65,91,2.75,CA,2023-04-07
