City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
79,bud,39.447,-86.1758,23.75,38,0,4.72,US,2023-04-11
80,arraial do cabo,-22.9661,-42.0278,26.98,69,75,7.2,BR,2023-04-11
81,tiksi,71.6872,128.8694,-26.86,100,100,0.63,RU,2023-04-11
82,whitecourt,54.1502,-115.6855,0.58,100,100,1.03,CA,2023-04-11
83,norman wells,65.282,-126.8329,-5.98,73,75,4.12,CA,2023-04-11
84,gazli,40.1333,63.45,21.05,28,87,6.34,UZ,2023-04-11
85,bambous virieux,-20.3428,57.7575,25.68,88,40,1.54,MU,2023-04-11
86,katobu,-4.9408,122.5276,24.23,94,6,0.62,ID,2023-04-11
87,severo-kurilsk,50.6789,156.125,-1.37,77,91,9.96,RU,2023-04-11
88,borogontsy,62.6683,131.1683,-14.27,98,100,0.7,RU,2023-04-11
89,shelburne,44.0787,-80.2041,19.42,36,100,9.58,CA,2023-04-11
90,tuktoyaktuk,69.4541,-133.0374,-20.0,77,75,7.72,CA,2023-04-11
91,nanortalik,60.1432,-45.2371,1.09,90,100,1.49,GL,2023-04-11
92,carnarvon,-24.8667,113.6333,21.57,66,6,9.14,AU,2023-04-11
93,thompson,55.7435,-97.8558,10.09,29,75,0.0,CA,2023-04-11
94,porto velho,-8.7619,-63.9039,32.03,58,40,2.06,BR,2023-04-11
95,saskylakh,71.9167,114.0833,-25.14,100,53,1.81,RU,2023-04-11
96,dikson,73.5069,80.5464,-22.97,94,11,7.29,RU,2023-04-11
97,atuona,-9.8,-139.0333,26.85,82,97,7.28,PF,2023-04-11
98,omboue,-1.5746,9.2618,26.82,82,100,2.24,GA,2023-04-11
99,anaconda,46.1285,-112.9423,14.55,61,7,8.02,US,2023-04-11
100,champerico,14.3,-91.9167,34.3,58,0,5.23,GT,2023-04-11
101,kenai,60.5544,-151.2583,-1.62,81,100,2.57,US,2023-04-11
102,constantine,36.365,6.6147,20.67,30,0,2.57,DZ,2023-04-11
103,pisco,-13.7,-76.2167,26.68,78,0,4.63,PE,2023-04-11
104,linhares,-19.3911,-40.0722,27.7,57,82,4.35,BR,2023-04-11
105,esperance,-33.8667,121.9,16.35,88,16,2.31,AU,2023-04-11
106,torbay,47.6666,-52.7314,11.43,31,40,7.72,CA,2023-04-11
107,port macquarie,-31.4333,152.9167,11.05,72,94,2.85,AU,2023-04-11
108,san carlos de bariloche,-41.1456,-71.3082,15.86,59,40,8.23,AR,2023-04-11
109,fort nelson,58.8053,-122.7002,4.41,39,20,4.02,CA,2023-04-11
110,villarrica,-25.75,-56.4333,33.21,31,0,3.65,PY,2023-04-11
111,novyy yarychiv,49.9044,24.3052,8.37,73,96,3.2,UA,2023-04-11
112,sovetskaya,44.7769,41.1722,13.43,65,100,5.32,RU,2023-04-11
113,san patricio,28.017,-97.5169,23.98,54,0,4.46,US,2023-04-11
114,karratha,-20.7377,116.8463,29.88,35,94,3.67,AU,2023-04-11
115,iquitos,-3.7481,-73.2472,28.02,89,75,1.54,PE,2023-04-11
116,punta arenas,-53.15,-70.9167,9.06,46,40,8.75,CL,2023-04-11
117,saint-augustin,51.226,-58.6502,0.91,98,97,3.83,CA,2023-04-11
118,atambua,-9.1061,124.8925,23.0,88,14,0.59,ID,2023-04-11
119,saint-philippe,-21.3585,55.7679,24.77,81,46,1.43,RE,2023-04-11
120,laurentides,46.4334,-74.9826,13.17,79,100,6.29,CA,2023-04-11
121,vila franca do campo,37.7167,-25.4333,18.23,71,86,4.69,PT,2023-04-11
122,port alfred,-33.5906,26.891,14.54,82,61,0.45,ZA,2023-04-11
123,hasaki,35.7333,140.8333,17.94,72,99,13.65,JP,2023-04-11
124,vallenar,-28.5708,-70.7581,29.77,30,14,4.31,CL,2023-04-11
125,puerto rico,-26.796,-55.024,29.87,34,3,2.27,AR,2023-04-11
126,saint george,37.1041,-113.5841,25.24,21,0,1.34,US,2023-04-11
127,te anau,-45.4167,167.7167,11.31,98,98,1.76,NZ,2023-04-11
128,belaya gora,68.5333,146.4167,-29.36,100,29,1.35,RU,2023-04-11
129,port lincoln,-34.7333,135.8667,17.43,85,12,10.4,AU,2023-04-11
130,makat,47.6469,53.3463,15.25,32,24,5.06,KZ,2023-04-11
131,abalak,58.1286,68.5944,-1.13,67,95,2.9,RU,2023-04-11
132,half moon bay,37.4636,-122.4286,18.6,79,100,7.2,US,2023-04-11
133,marsala,37.7966,12.4352,14.97,67,0,3.09,IT,2023-04-11
134,chateaudun,48.0833,1.3333,12.75,82,100,5.91,FR,2023-04-11
135,radyvyliv,50.1299,25.2558,9.05,72,100,2.7,UA,2023-04-11
136,agadez,19.75,10.25,27.09,14,40,4.86,NE,2023-04-11
137,merzig,49.45,6.6333,11.95,79,100,2.02,DE,2023-04-11
138,tabou,4.423,-7.3528,27.87,79,100,3.93,CI,2023-04-11
139,amapa,1.0,-52.0,27.92,80,94,1.85,BR,2023-04-11
140,gazojak,41.1875,61.4036,20.21,33,100,5.37,TM,2023-04-11
141,pevek,69.7008,170.3133,-31.79,100,81,2.17,RU,2023-04-11
142,hirara,24.8,125.2833,20.92,94,14,2.06,JP,2023-04-11
143,changde,29.0464,111.6783,18.66,65,74,3.13,CN,2023-04-11
144,ugoofaaru,5.6667,73.0,28.79,75,50,5.1,MV,2023-04-11
145,russell,32.3502,-85.1999,23.28,37,0,3.6,US,2023-04-11
146,morada nova,-5.1067,-38.3725,31.5,47,54,3.77,BR,2023-04-11
147,bogande,12.9714,-0.1436,37.23,11,80,4.11,BF,2023-04-11
148,kailua,21.4022,-157.7394,23.6,83,100,2.68,US,2023-04-11
149,kodiak,57.79,-152.4072,-0.27,80,100,1.54,US,2023-04-11
150,east london,-33.0153,27.9116,16.52,63,0,7.2,ZA,2023-04-11
151,ostrovnoy,68.0531,39.5131,-0.42,98,100,2.91,RU,2023-04-11
152,solca,47.7,25.85,8.57,88,100,2.19,RO,2023-04-11
153,palmer,42.1584,-72.3287,23.69,13,75,5.36,US,2023-04-11
154,shache,38.4167,77.2406,16.46,18,24,1.48,CN,2023-04-11
155,la rioja,42.25,-2.5,18.88,36,69,2.87,ES,2023-04-11
156,jiuquan,39.7432,98.5174,12.65,22,82,2.7,CN,2023-04-11
157,mahajanga,-15.7167,46.3167,28.01,78,20,3.09,MG,2023-04-11
158,kondoa,-4.9,35.7833,20.91,63,92,2.86,TZ,2023-04-11
159,nalut,30.3333,10.85,18.23,20,0,5.29,LY,2023-04-11
160,provideniya,64.3833,-173.3,-21.71,92,98,5.54,RU,2023-04-11
